index,reg1,val1,reg2,val2,reg3,val3
138,8,0E,9,0D,10,0B
139,8,0E,9,0D,10,0B
140,8,0E,9,0D,10,0B
141,8,0E,9,0D,10,0B
142,8,0E,9,0D,10,0A
143,8,0E,9,0D,10,0A
144,8,0E,9,0D,10,0A
145,8,0E,9,0D,10,0A
146,8,0E,9,0C,10,0C
147,8,0E,9,0D,10,00
148,8,0D,9,0D,10,0D
149,8,0D,9,0D,10,0D
150,8,0D,9,0D,10,0D
151,8,0D,9,0D,10,0D
152,8,0D,9,0D,10,0D
153,8,0D,9,0D,10,0D
154,8,0E,9,0C,10,0B
155,8,0E,9,0C,10,0B
156,8,0E,9,0C,10,0B
157,8,0E,9,0C,10,0B
158,8,0E,9,0C,10,0B
159,8,0E,9,0C,10,0B
160,8,0E,9,0C,10,0B
161,8,0E,9,0C,10,0B
162,8,0E,9,0C,10,0A
163,8,0E,9,0C,10,0A
164,8,0E,9,0C,10,0A
165,8,0E,9,0C,10,0A
166,8,0D,9,0D,10,0C
167,8,0D,9,0D,10,0C
168,8,0E,9,0C,10,09
169,8,0E,9,0C,10,09
170,8,0E,9,0C,10,05
171,8,0E,9,0C,10,00
172,8,0E,9,0C,10,00
173,8,0E,9,0B,10,0B
174,8,0E,9,0B,10,0B
175,8,0E,9,0B,10,0B
176,8,0E,9,0B,10,0B
177,8,0E,9,0B,10,0A
178,8,0E,9,0B,10,0A
179,8,0E,9,0B,10,0A
180,8,0D,9,0D,10,0B
181,8,0D,9,0D,10,0B
182,8,0D,9,0D,10,0B
183,8,0E,9,0B,10,09
184,8,0E,9,0B,10,09
185,8,0E,9,0B,10,09
186,8,0D,9,0C,10,0C
187,8,0D,9,0D,10,0A
188,8,0E,9,0B,10,07
189,8,0E,9,0B,10,00
190,8,0E,9,0B,10,00
191,8,0D,9,0D,10,09
192,8,0D,9,0D,10,09
193,8,0E,9,0A,10,09
194,8,0D,9,0D,10,08
195,8,0D,9,0D,10,07
196,8,0D,9,0D,10,04
197,8,0D,9,0D,10,00
198,8,0E,9,0A,10,04
199,8,0E,9,09,10,09
200,8,0E,9,09,10,09
201,8,0D,9,0C,10,0B
202,8,0E,9,09,10,08
203,8,0E,9,09,10,08
204,8,0E,9,09,10,07
205,8,0E,9,08,10,08
206,8,0E,9,09,10,01
207,8,0C,9,0C,10,0C
208,8,0D,9,0C,10,0A
209,8,0E,9,08,10,06
210,8,0E,9,07,10,07
211,8,0E,9,08,10,00
212,8,0E,9,07,10,05
213,8,0E,9,06,10,06
214,8,0D,9,0C,10,09
215,8,0E,9,05,10,05
216,8,0E,9,04,10,04
217,8,0D,9,0C,10,08
218,8,0D,9,0B,10,0B
219,8,0E,9,00,10,00
220,8,0D,9,0C,10,06
221,8,0D,9,0C,10,05
222,8,0D,9,0C,10,02
223,8,0C,9,0C,10,0B
224,8,0C,9,0C,10,0B
225,8,0D,9,0B,10,0A
226,8,0D,9,0B,10,0A
227,8,0D,9,0B,10,0A
228,8,0D,9,0B,10,0A
229,8,0C,9,0C,10,0A
230,8,0C,9,0C,10,0A
231,8,0C,9,0C,10,0A
232,8,0D,9,0B,10,09
233,8,0D,9,0B,10,09
234,8,0D,9,0A,10,0A
235,8,0D,9,0A,10,0A
236,8,0D,9,0A,10,0A
237,8,0C,9,0C,10,09
238,8,0C,9,0C,10,09
239,8,0C,9,0C,10,09
240,8,0D,9,0B,10,06
241,8,0C,9,0B,10,0B
242,8,0C,9,0C,10,08
243,8,0D,9,0B,10,00
244,8,0D,9,0B,10,00
245,8,0C,9,0C,10,07
246,8,0C,9,0C,10,06
247,8,0C,9,0C,10,05
248,8,0C,9,0C,10,03
249,8,0C,9,0C,10,01
250,8,0C,9,0B,10,0A
251,8,0D,9,0A,10,05
252,8,0D,9,0A,10,04
253,8,0D,9,0A,10,02
254,8,0D,9,09,10,08
255,8,0D,9,09,10,08
